text,label
直排是不是比热泵更耗电,1
直排是不是比热泵更耗电,1
求Zimu，听的有点糊涂,1
这不是亮哥的声音嘛,1
吃起来味道好极了,2
小亮哈哈哈哈,2
害怕,5
试图激发天敌食欲,2
厉害,5
厉害了,5
吓人,5
恶心,1
怕不是装了个柴油发动机,1
拖拉机？,1
哈哈哈哈哈哈哈,2
害怕,5
害怕,5
可怕,5
害怕,5
害怕,5
害怕,5
哈哈这不小亮吗,2
害怕,5
哈哈哈大杨好搞笑,2
你也迷死我了哈哈哈！,2
哈哈哈大杨魔性笑声,2
这狗粮猝不及防,1
狐狸这个眉毛画得不大好哈哈哈哈哈哈哈,2
"椅子鼓包一摸就叫，七天后飞出神秘男子
伊藤润二著",3
你这？拿别人的视频然后再拿别人解释这个视频的视频组成和你的视频？牛的[疑惑],1
这农村好多啊？ ……[笑哭]哈哈哈哈哈哈哈哈哈哈,2
这不是小亮的声音吗，等等，怎么跟营销号是的,1
还用手去碰？换是我！就是一拖hai[滑稽],1
现在的专家这么多吗？[疑惑],1
恶心,1
厉害,5
如果是我的话就直接放火烧了[吃瓜],1
[囧][囧][囧]最害怕的就是蛾子，好看也不行[无语][无语]，曾经为了摁死一只蛾子打坏我一个拖把[笑哭],4
某种程度上，这种发声恐吓还挺管用[喜极而泣],1
可以拿来拍一部恐怖电影了,5
拖拉机的声音,1
那叫变态成蛾,1
这声音不是无穷小亮吗？,1
这科普不是小亮的声音嘛？,1
谁停的拖拉机[doge],1
……我特别害怕这种东西,5
看成了包子鼓包。。。,1
这不是传说中的国外小哥吗,1
确实挺吓人的，但出来之后还挺好看的,5
[tv_笑哭]毫无游戏体验,2
冲绳不是日本的，只是日本代管，别取这种标题,1
哈哈哈哈 我老婆那么漂亮 [滑稽],2
这启示录被你说成进化,2
莫名其妙,1
哈哈,2
还是忘不了当年在游戏里调戏人家老婆被人老公在长安郊区挖矿的时候清矿[大哭][大哭][大哭],1
所以妖魄除了基础的那两个，其他的怎么获得,2
小默英语头一次试着制作此系列视频，个人能力有限，翻译难免有错，敬请批评指正！谢谢！谢谢！谢谢！,1
英音粉来了哈哈，期待后续哈哈,2
激活了吗教教我。,2
西装太吃动作了，可惜我的舞担刘姐了，换场还走错站位了导致动作乱了一下,1
你的封面成功的吸引我点了进来。 刘姐性感可爱没错了,2
看舞蹈是看力度，控制这些的，不是看动作简不简单，门外汉不要凭几个动作就否定人家舞担的实力,1
刘些宁大舞担，厉害厉害,5
这是一种享受,2
刘姐是不是胳膊有点短…看着扑棱的有点好笑 憨憨可爱 笑死,1
哈哈,2
哈哈哈哈哈哈哈陈思远你咋这么坏,2
哈哈哈哈哈哈大胆 居然敢质疑高大师的线路分化,2
哈哈哈哈哈哈哈这二传,2
哈哈哈哈哈哈高大师明明一直就很帅,2
收徒吗 小苏[微笑],2
这个游戏叫：迪亚的100种自杀方式,2
哈哈哈,2
哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈哈哈哈,2
这四个姐姐是现场找来的群演 别瞎说了,1
哈哈哈哈哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈,2
4哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
h哈哈哈哈,2
杨洋演的荣耀很帅的发型，这个发型不好看,1
哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈,2
哈哈哈嗝,2
哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈,2
恍恍惚惚,1
哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
过分了,1
哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈,2
哈哈哈哈哈哈哈哈,2
hhhhhh哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈,2
呵呵，,2
哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈,2
哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈,2
哈哈哈哈哈哈哈哈哈,2
